s.no.,objective,test_rmse
6,-90866.49305629656,1.1250712389129571
5,-90917.69791614069,1.12871454872745
4,-90918.15955200893,1.1302523988747726
9,-90937.78624043119,1.1191823192637624
3,-91101.10568466905,1.1235580195152184
1,-91125.0644721463,1.1209165536079178
2,-91133.36895354815,1.097940473369799
7,-91283.05615750757,1.130650564244551
10,-91291.02211721872,1.1026343903356526
8,-91309.68399386025,1.1043905513803856
