Star Wars,My Fair Lady,GoodFellas
0.3114472059422007,0.5710441409057678,0.6854886312886684
0.608870136489778,0.7386952359991888,0.7265737466423036
0.6327087539882508,0.8454587627312651,0.7600937820079271
0.7068764001270483,0.8517434190094838,0.810819256642798
0.8236077669474956,0.9735861452281314,0.849387997897522
0.8277720335976081,0.9754577826983937,0.8495822787124344
0.9115614084725002,0.9779256074278572,0.8733708896168917
0.9128795540682688,1.0124686039361057,0.8903419094112492
0.9273609950892022,1.0134025976945127,0.8958309354750961
0.9386320876587017,1.0362561836697681,0.9205613631863946
